TT id,LinkColorHex,ColorTeam (from LinkColorHex),IMG WP,ColorSkin (from LinkColorHex),ShapesLink,ShapeRarity,ColorRarity,RarityTotal,RarityTotal TTid Factor,TTidFactorCal,RaritiesConcatenated,RaritiesArray,Concatenate Attibutes,Concatenate Attributes and Array
118,#ebf2a7,PaPairmint,t_106.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/vnym-ACtNTTthhNI0Z6Hbw/Ip_bdLVJdiNEP6e7vqXMt0YI-qpm7DqUHmNPKLeBZ7heFr5CegIPtJCd2SaE18td3CZxwDy6jX9lP3COQ9H_5JnrKDxJE1kykYFMNx7cAlY/zBSkzR80X20cywnIA7N2_GOOJqaBbziqeJgop-nTTnA),#BFD65B,Perkies,10.42,6.94,0.667,0.7867,1.1800,RC-6.94_RS-10.42_RT-0.67,RC-6.94_RS-10.42_RT-0.67,tts_PaPairmint-Perkies-118_RC-6.94_RS-10.42_RT-0.67,tts_PaPairmint-Perkies-118_
51,#e6bbb4,ChocoLattes,t_84.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/NCtlygM-2fTcrgu26dzq-w/GgxhJF2teG9f56eyw1F1y5lFKsGQGv036CQCc_xsCEcD6tQAVwni78ALCHcQ63DOgQ7hkv5M8YJEKKDT-rdBjQ/up5oquzaTWTVL-CatO1AKAhe5lIb54ArfsIeNI3WeaA),#874D3C,Perkies,10.42,6.94,0.667,0.3400,0.5100,RC-6.94_RS-10.42_RT-0.67,RC-6.94_RS-10.42_RT-0.67,tts_ChocoLattes-Perkies-51_RC-6.94_RS-10.42_RT-0.67,tts_ChocoLattes-Perkies-51_
66,#cdbef7,PurpleHush,t_50.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/u2ufGXq60JFg53sFny1gfg/ACAy5n6BTy-75E90l-vXZGHgPbWP3O1laUxIQjJoMmVi5jKDv0QfAPYpIvtrCqwy6S_GTkfQggOobgOSOLXCzA/Td88RaRpF-pE4BrSQlUfuAJPhBYf7Zw6fF5OOM7llx4),#5F4B8B,Perkies,10.42,6.94,0.667,0.4400,0.6600,RC-6.94_RS-10.42_RT-0.67,RC-6.94_RS-10.42_RT-0.67,tts_PurpleHush-Perkies-66_RC-6.94_RS-10.42_RT-0.67,tts_PurpleHush-Perkies-66_
43,#f9b4e4,WaterMelons,t_117.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/PNOWQMNSOl8ytbNFXWLkyw/GcdMqlggfEQVUYXNTqEQDBo5N2ObEjcPF3yIyO9grlzgqoSTwoBbYluuACKGRlaJqJqI86o1FufQ2lSnqzKxlQV6g6MnUP2Ba2RcDdYP_38/-XkYnWb2rmvlJbCJAViwkFz8gYjVq0AJUNcjjF6_szQ),#EF6EAA,Perkies,10.42,7.64,0.733,0.3153,0.4300,RC-7.64_RS-10.42_RT-0.73,RC-7.64_RS-10.42_RT-0.73,tts_WaterMelons-Perkies-43_RC-7.64_RS-10.42_RT-0.73,tts_WaterMelons-Perkies-43_
90,#9bd3f9,BooBerries,t_61.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/yu-O9Rs-VLRjdMdHwF0NaA/d-MJsPMUJqxDzZvLQtqZiRkjT5Uu2uNuqw4b47rsMM7rU5Doj6GztSTZOfGSC-6S3noOmF91m6oG2uPCd-_6uw/dH0-ZcbXso9g-vrupeuqAEglfVzZIjDxMYYcCMKxyI0),#30B4E2,Perkies,10.42,7.64,0.733,0.6600,0.9000,RC-7.64_RS-10.42_RT-0.73,RC-7.64_RS-10.42_RT-0.73,tts_BooBerries-Perkies-90_RC-7.64_RS-10.42_RT-0.73,tts_BooBerries-Perkies-90_
89,#ffe1b6,TataColadas,t_6.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/bEts4hnCfps616JmvIjyRA/-q4ltRGTHGvlK0vq_rIwLXFl6q2oGbj0IHfjfkIOqewXxAuBFpv2vHeprwzsR4UQaFbEecvC7tv7XF1ab3EfkA/WSouqI_0ZXLW_NBTFhCrU2pZeHm3BsJFh-v4_RHMCqA),#F9C87A,Perkies,10.42,7.64,0.733,0.6527,0.8900,RC-7.64_RS-10.42_RT-0.73,RC-7.64_RS-10.42_RT-0.73,tts_TataColadas-Perkies-89_RC-7.64_RS-10.42_RT-0.73,tts_TataColadas-Perkies-89_
144,#ff9a9f,CherryBosoms,t_140.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/Bl4MxHq8vC9mE1WcrIFxPw/uKVas79TZf123pFVnq6faksgURN7rzvpQ4MseyEk4P7RJx6fyGxUL3x8Cjh5CgzYRRLUw-_oa8R-z_1pqXuj7uchuOlZRwHJ0WypfkfiIuE/pSA-_ih0sH_0qj--Hh2Wrwn4rNM-pZuRv0Drr9R2dBo),#891946,TotalRecalls,8.33,6.25,0.750,1.0800,1.4400,RC-6.25_RS-8.33_RT-0.75,RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-TotalRecalls-144_RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-TotalRecalls-144_
20,#ff9a9f,CherryBosoms,t_136.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/bjWJkmpUwmhvMaf_AiImiA/-prpedItxgsXicfFPZ4ktEkC80m7WwzMo6NO0mcQ2Kxu8bLuOrysFvb2lepJAXke263bwOCefS34TYl_8IjLXQ8km_vOmGpXkc7YHGPDEz4/XOCJNQX8s801HabpsLYoRMw0-WD-H8nNao2RmuQm_b4),#891946,Spades,8.33,6.25,0.750,0.1500,0.2000,RC-6.25_RS-8.33_RT-0.75,RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-Spades-20_RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-Spades-20_
10,#ff9a9f,CherryBosoms,t_138.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/GhSTVK-l27mQtS-i-KwB6g/untxRHiaXffa2QMYiOGI1OsWgBB_XeNPzOlEcf0DDb9-67OfynkCs7jgxVZMZYrWvnZXYwIDDCTBM7d600zIV_0rfDvzVIQbkDwDMBibDBk/SODi-xIlJ9LF5nUKZBQUA-GWtT0MD7sHOoQymo2XWN0),#891946,Oh Buoys,8.33,6.25,0.750,0.0750,0.1000,RC-6.25_RS-8.33_RT-0.75,RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-Oh Buoys-10_RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-Oh Buoys-10_
30,#ff9a9f,CherryBosoms,t_144.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/6EYXS322s9cNbGCImA4oVg/xP1hh5DvVI8i1RvqhfwsLp63kKm5Y0gyLdwOnKfGs199y8YCbQDD4-7pWbpkHAD1pteLdKRbJyqCay1qVLLjbtG6MQ8Ej3ztY1zQrIiK9wg/v9BBHmXTTyY4XU1WsYwwS98JpQaF0-A8fBZLG2NXme0),#891946,Hoots,8.33,6.25,0.750,0.2250,0.3000,RC-6.25_RS-8.33_RT-0.75,RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-Hoots-30_RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-Hoots-30_
93,#ff9a9f,CherryBosoms,t_142.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/XYJF3mY0Vf9h9pagZmocqQ/OHhvmneD1rAexHt2B37B_eUZFnFlO2WzUFB1soYDNzyGyWmgYgbl93sVKpN0Ejd-YtCqyxASaBZfP5Wzk9volFkiLp58sCwTxoKe_6KaR34/RcKOZ8R65ruWxMUmCXWKODAdBylYZawF_vOiTS0gq40),#891946,HolyMels,8.33,6.25,0.750,0.6975,0.9300,RC-6.25_RS-8.33_RT-0.75,RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-HolyMels-93_RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-HolyMels-93_
137,#eacece,CocoNaugthy,t_30.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/w2PSCyFmUbeDJz0Vz8YuHQ/WGH4Ub7Khvhz1nyLDo7g-2cqg3_AZAPSPB9Gtgx6SyztZD2qJXc0UC5IrYUhVl6vprQRRFsPD-Cx9mXJM0CKYg/ef2UF2R4aytWPgmTmYl5vHou8JKJlXV76KJr6HFUUzE),#D6AAAA,Perkies,10.42,8.33,0.800,1.0960,1.3700,RC-8.33_RS-10.42_RT-0.8,RC-8.33_RS-10.42_RT-0.8,tts_CocoNaugthy-Perkies-137_RC-8.33_RS-10.42_RT-0.8,tts_CocoNaugthy-Perkies-137_
78,#f4d4fc,StarBust,t_17.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/4OEd-mT3W8U1svHsL4Bdig/uruhKGFcMJ27B5oxai2dvJw-5L4hoix4Bpi1CirAnd3tYQaHb3F3RNbuqGwAaF03XIFau6ObOKa-tXABONwiUw/RGZcFQOQZahfkmPRu0zHZz8RDMC_cNkLYgHhC8rqrCk),#F3A4FF,Perkies,10.42,8.33,0.800,0.6240,0.7800,RC-8.33_RS-10.42_RT-0.8,RC-8.33_RS-10.42_RT-0.8,tts_StarBust-Perkies-78_RC-8.33_RS-10.42_RT-0.8,tts_StarBust-Perkies-78_
19,#FCDACA,ButterUdders,t_39.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/OPFmRurKGUBBNc51SY1Qyw/wMXzGr4XTjQGI9dPh742yiKFGDM1Z7KH81Oc6lkehmLnJHgtUqqNMBSIQKpV9hFs5Sj77bTPOLYDtKyfbkU0hw/1KVprxL4uiNajOFjmAg-gZtVPWOPNVNbwLz1_Mr_NmY),#F9BE9D,Perkies,10.42,8.33,0.800,0.1520,0.1900,RC-8.33_RS-10.42_RT-0.8,RC-8.33_RS-10.42_RT-0.8,tts_ButterUdders-Perkies-19_RC-8.33_RS-10.42_RT-0.8,tts_ButterUdders-Perkies-19_
122,#f9cdaf,CupCakes,t_128.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/lpsTz50vFqWVMYhtp8XGEg/12jSJjVoXGWSeq4SexIsF19ygJPj7qwAEv-Lr-tL2s1Vqi7m8fC0_HBMs4rvn7bY4Rb4j6uelKzlQkj-I72rHVmcVG8f-eAgd4XhwYXn4jc/QIOj6z--f-RfP83H43atfXJDiiF9Vw7fFGy7jnCpVjs),#E29764,Perkies,10.42,8.33,0.800,0.9760,1.2200,RC-8.33_RS-10.42_RT-0.8,RC-8.33_RS-10.42_RT-0.8,tts_CupCakes-Perkies-122_RC-8.33_RS-10.42_RT-0.8,tts_CupCakes-Perkies-122_
141,#cdbef7,PurpleHush,t_46.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/1PNnFRk-3rrOYXZ_ryFW1A/EhfMKCy3qVSyowDuguoRlBDixHofl8TOj4crZvWoWwOeVjXbzcH_uqRWXfMfth4jojQVTnmb7GHzNh-sUIg15w/EuOxnH-SmsggsORE5XhgAjDtKUTUcQa2LUGSVpPtm-c),#5F4B8B,Hoots,8.33,6.94,0.833,1.1750,1.4100,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PurpleHush-Hoots-141_RC-6.94_RS-8.33_RT-0.83,tts_PurpleHush-Hoots-141_
136,#cdbef7,PurpleHush,t_53.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/gL2vrBxM6-x95URtqjdkiQ/F6ub1840F0S5l17USunRXBJV3d_JQRoT40C1P7rgFyQI1ngnHfatP6A2BLhJzisL37h1dMWIT_2AAzDbLcpw6g/o-KUkK6bvojB6MZZ7CLzAfPC5qK5QE-vZLb5xXwgeiA),#5F4B8B,Spades,8.33,6.94,0.833,1.1333,1.3600,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PurpleHush-Spades-136_RC-6.94_RS-8.33_RT-0.83,tts_PurpleHush-Spades-136_
129,#cdbef7,PurpleHush,t_49.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/jmOQuyHDYr0CPLmXIB0inw/8JB1q7NQW674jXLZNRUwAoMXvJyF_8wAucnINRpMv0hatDKcay_kaVjdNHgmHiUFvN93pjGn3UNbR3fE9VrmIw/gehFGs6CkyytL3HpEA_tiRm7wruBsXWYegb7bIj1Xmc),#5F4B8B,TotalRecalls,8.33,6.94,0.833,1.0750,1.2900,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PurpleHush-TotalRecalls-129_RC-6.94_RS-8.33_RT-0.83,tts_PurpleHush-TotalRecalls-129_
16,#ffd8bd,PeCans,t_96.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/j3uRaNFBk2UJMSm5iDXmpw/gIjoCfB9ds13u5HotA5adw04kiUOE34N3LAPAzV3JIUuYJSbnfTtVDZySdfZ69rh4YDfAEtmj7xqsn-QoevYKw/jcPBuLshernjlWPFaCfNGZ64_Ezul9b4qoAuw48E7B0),#b7896a,Oh Buoys,8.33,6.94,0.833,0.1333,0.1600,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PeCans-Oh Buoys-16_RC-6.94_RS-8.33_RT-0.83,tts_PeCans-Oh Buoys-16_
110,#ebf2a7,PaPairmint,t_9.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/ivatrp_2dZdxPjdy76lKZw/7fDYyWH46JIXjLoued5qYx5sU1cNADFrxHwKRbNeVH3chrKg9B7nafI1Z5fKxHwjiPafvK6k8hhGniWoE05zDA/oKpR7kgsVzyr-4-_mge50Y0O8geBP879orjBjZ4tYeU),#BFD65B,Spades,8.33,6.94,0.833,0.9167,1.1000,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PaPairmint-Spades-110_RC-6.94_RS-8.33_RT-0.83,tts_PaPairmint-Spades-110_
99,#e6bbb4,ChocoLattes,t_87.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/E-3CzO5ZweahcbqmbmOaXA/mx2Ip-Jk1_Gbf9_SZ27XSqw1xxn0gg1deCxlMI32_PFPenR8lakQuRbA0mV2mFuz2rtjgaRsrL_79ySENZbZFg/Cag2DM9C4l9XsTZHGrZKBG1AAmTmtReLFfSwFICTtpc),#874D3C,HolyMels,8.33,6.94,0.833,0.8250,0.9900,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_ChocoLattes-HolyMels-99_RC-6.94_RS-8.33_RT-0.83,tts_ChocoLattes-HolyMels-99_
104,#e6bbb4,ChocoLattes,t_89.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/9lHQ8_FB-Z-0ym9joNiZjg/6GATCsyP09JX8pVNsg0FHaaQTonR1Ydk95CZsDE6KdlX0-OjgA0GQVZX1Ae8lxis1fdvCivxUSlaSz19EaYx2A/WgGX1L3aRZ2ySdPpcKD2LbNtow3d2rQLdsDxzseQLlQ),#874D3C,Hoots,8.33,6.94,0.833,0.8667,1.0400,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_ChocoLattes-Hoots-104_RC-6.94_RS-8.33_RT-0.83,tts_ChocoLattes-Hoots-104_
106,#ebf2a7,PaPairmint,t_111.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/k1bsG8uyzpJidfp0sH_3_Q/3I6mr_pKAtg8P2LoTI8tB0n256Nb98Mn4wFqr8R9dVmKKjuDlVnnCsy53chfWEbWEwOmayaQ4Yi68uXLSR_Q_81ci1LSSsYrDqeC-RF4Was/MwmJn06ECxw1DZmgziEI01V-8EZVkeA94EQBXkqLZ5E),#BFD65B,Hoots,8.33,6.94,0.833,0.8833,1.0600,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PaPairmint-Hoots-106_RC-6.94_RS-8.33_RT-0.83,tts_PaPairmint-Hoots-106_
41,#ffd8bd,PeCans,t_92.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/-0GR1vMRORO5MUvTzGoj-g/bIR5r3xgGXH0KJdjSLAzKt6rqnqfWBtMyiH5BeYM2X_gQ4RGihzDusrsaCIfDQ7mmStq9qbRfv_Pd7jS8qCFCg/4E665XnUPwg28LYN6mx81KgDR9mMODNs1wtF21Q-5kU),#b7896a,HolyMels,8.33,6.94,0.833,0.3417,0.4100,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PeCans-HolyMels-41_RC-6.94_RS-8.33_RT-0.83,tts_PeCans-HolyMels-41_
117,#ffd8bd,PeCans,t_90.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/eeBNrfD2f_rBZntgc3k0-g/6wJGRuRfZ91vC6yqfco6X_X5s_0gbPgsakufQDqCP1uCE0Ydvj2S6eRdkQTkQ3RCDGhgy1zMoQY7fr0xmZh73w/R2FTdodYeiwHeZ2U8ovDgLs_KZVTLo-rZvP_bwr7rSU),#b7896a,Hoots,8.33,6.94,0.833,0.9750,1.1700,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PeCans-Hoots-117_RC-6.94_RS-8.33_RT-0.83,tts_PeCans-Hoots-117_
33,#ebf2a7,PaPairmint,t_109.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/EGwoOZiHkejGh8gpazRJvQ/4PcwDhfPLyil0WCCZLkzDv_zl7vObq_k970X-ONVytJm10KGEvCsl1cYkVtsLu7xi1VN7s2PQ-OBNkaCOfPyDrlPS_u-ErCbFytU0MTL_rk/4DDVJD8jNHFZa8QQp7-jXU-brrDGUIsVhQ6g8dv49sI),#BFD65B,HolyMels,8.33,6.94,0.833,0.2750,0.3300,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PaPairmint-HolyMels-33_RC-6.94_RS-8.33_RT-0.83,tts_PaPairmint-HolyMels-33_
119,#ffd8bd,PeCans,t_97.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/3T2t-v91pw53DwvS2yCQog/h-PweDBjrGyc4baE-YxvaTudLivZD6GldRfA1UETb-vUjWb2aZrS8T6Uy-_5_nEXCUfrNaZ_ATgguwgQrMqFrQ/JjtpvSfw5cgD203gvep-F-I6oYpdRAkmiGgDpqKSXLc),#b7896a,Spades,8.33,6.94,0.833,0.9917,1.1900,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PeCans-Spades-119_RC-6.94_RS-8.33_RT-0.83,tts_PeCans-Spades-119_
11,#e6bbb4,ChocoLattes,t_82.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/tPvcSn-X-siB_WtaZ-2bZg/JhCsavx1zAhkBT0HbZDTZXQa34QSQGS51Ctfyzxy6XsGuYTdCc6vbu_KPXBomxJ2OCkt5r7OzNTEEeeuV8lXIg/XBYets_glpy5Qd6S5oKTXlaAYDrRoNguSbhc1E66JDg),#874D3C,Spades,8.33,6.94,0.833,0.0917,0.1100,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_ChocoLattes-Spades-11_RC-6.94_RS-8.33_RT-0.83,tts_ChocoLattes-Spades-11_
105,#cdbef7,PurpleHush,t_51.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/kbkk5j1hjbjQGy4PRWEqgA/lD29zR6nL3VxdoA2eFh32FudC5GpKwtvvOW6KyeOlEHMx35tSXr7V5ot1ETZ_f6HkfBSgz4XfbsHlDDJD9iJgA/ekNG1t6Rzt3bQ3zBTdC1RqOYneBKLK5qzKVYw7sVxSE),#5F4B8B,Oh Buoys,8.33,6.94,0.833,0.8750,1.0500,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PurpleHush-Oh Buoys-105_RC-6.94_RS-8.33_RT-0.83,tts_PurpleHush-Oh Buoys-105_
38,#ffd8bd,PeCans,t_94.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/Is64M-KunTDhhNcMfe40rw/_hBGS4vI1fETPbFmVf8cLtJrcB-WUA5WULEK0qWMC0-EmUCcltkvwuwfKstqNbiyk8oAyFNJaHadnVBcObAgiQ/HLhty6f0ER9zsvhsMcpDjYbp-jVBnDkT_oqr7IVU9GY),#b7896a,TotalRecalls,8.33,6.94,0.833,0.3167,0.3800,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PeCans-TotalRecalls-38_RC-6.94_RS-8.33_RT-0.83,tts_PeCans-TotalRecalls-38_
108,#cdbef7,PurpleHush,t_48.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/2W8feTxtukd3V3CZkUEpYA/ak0I3KnUwhk55omPx2hekMPF1Vn1HYQHUFYbS4wUIt_lX7WvMsKISSoJa2mVK2hXmWIrozzHBocZJu5tLe3ZHQ/MGkvUq9unI7Biy-0bdyKiaePUZuzNeDmVo2eJNSsmfE),#5F4B8B,HolyMels,8.33,6.94,0.833,0.9000,1.0800,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PurpleHush-HolyMels-108_RC-6.94_RS-8.33_RT-0.83,tts_PurpleHush-HolyMels-108_
94,#e6bbb4,ChocoLattes,t_85.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/xvi_nRF0mNUaPC_MQv9w8Q/uv2o9zU-sV9LBmAOKxOqnurLtHJy_FpmXvE0p6BzzHoIEqu3w2HldFTxPY4W2kp0nzt4VPeI-YE_2SZABzusRw/zZPdTmSx-LhQxGzgSHEnrVJUGRCPkCxDreNODGxAnVQ),#874D3C,TotalRecalls,8.33,6.94,0.833,0.7833,0.9400,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_ChocoLattes-TotalRecalls-94_RC-6.94_RS-8.33_RT-0.83,tts_ChocoLattes-TotalRecalls-94_
39,#ebf2a7,PaPairmint,t_105.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/ZH3RkzBKtsF76t1hn2FbTg/mucB0vv9olFkEU8ULLbY9wxEqbmbO4YEp-zaC8LGNhkQLHPcHC6Z-EcW6ebUbp2YezXDbdBDTt1o-0c5Efi0o5kiJ4wATV80DOVTAXJ2Pe0/dGxN2Tu_E4ROjP0Cmbvno3U2VQ-nFSsXjKvo6naaG8E),#BFD65B,Oh Buoys,8.33,6.94,0.833,0.3250,0.3900,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PaPairmint-Oh Buoys-39_RC-6.94_RS-8.33_RT-0.83,tts_PaPairmint-Oh Buoys-39_
45,#ebf2a7,PaPairmint,t_107.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/4vyulnLH1_4IfzxZrUqqqA/xx86nmiRJ4aO5YIJGSnW1FQuFy4758zkm06GWO0WJBKbxbOnr1PWQChG7ERqhO8Z8XbXK_WBJEhXmOYeYfQPh8DYjnM-D414ajIJ8pWLfYw/S8Y9A4ZVXHtxmirn-P0y5MuBHkgNPiQDZhTx46eM4MM),#BFD65B,TotalRecalls,8.33,6.94,0.833,0.3750,0.4500,RC-6.94_RS-8.33_RT-0.83,RC-6.94_RS-8.33_RT-0.83,tts_PaPairmint-TotalRecalls-45_RC-6.94_RS-8.33_RT-0.83,tts_PaPairmint-TotalRecalls-45_
26,#ff9a9f,CherryBosoms,t_135.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/icJTIPJ7Csnb8wPGkwlqzg/sAruPj-8VymAbb9ybIh6XN6K8z4SSQZUhFP4eywRom6mECOwPQE9RnGtte2nRJZLjjbNe5ty44xFzHJDFoKbqcIJNpBnsepDIXgfit5I_Oo/xbtwPrBa_TGByzmBY6-Szy4aGujOFWZ93fyUVU-uxlc),#891946,Trooper,6.94,6.25,0.900,0.2340,0.2600,RC-6.25_RS-6.94_RT-0.9,RC-6.25_RS-6.94_RT-0.9,tts_CherryBosoms-Trooper-26_RC-6.25_RS-6.94_RT-0.9,tts_CherryBosoms-Trooper-26_
65,#ff9a9f,CherryBosoms,t_137.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/gyf-jh7u-DH3DCC33dhUqw/-atNoGJY9C7IN-v0GFu_YV7SYxkH23L9fV21vLxr4CsduPZWsNdPDjgKBiEdZ99L21sml2MmYw3Cfgj9O6MNwnaU3s6BfhGfL65VZsS5AAk/xyiJI5U1Qlv335u_HHF52rntOztvXJplD3HovvRttIo),#891946,Shaggies,6.94,6.25,0.900,0.5850,0.6500,RC-6.25_RS-6.94_RT-0.9,RC-6.25_RS-6.94_RT-0.9,tts_CherryBosoms-Shaggies-65_RC-6.25_RS-6.94_RT-0.9,tts_CherryBosoms-Shaggies-65_
138,#e6bbb4,ChocoLattes,t_86.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/-zhUEYCBQlKxyjc1xZIMCw/IaRrPTt9VYz4ok7YGjbhKvAyUR2rsp5i1l8O7WnZ7N81A2NYyQ_LNdhBfGEvprssA0FpRVYwpIQdTTi9fEjXCA/PBGTyQnCNbREb4FkB-Y-UJnyzDa0YZyzQGnRI9JJ7iU),#874D3C,Vintties,7.64,6.94,0.909,1.2545,1.3800,RC-6.94_RS-7.64_RT-0.91,RC-6.94_RS-7.64_RT-0.91,tts_ChocoLattes-Vintties-138_RC-6.94_RS-7.64_RT-0.91,tts_ChocoLattes-Vintties-138_
75,#e6bbb4,ChocoLattes,t_88.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/bG2lGGW2_BReuG1FMBUwlQ/DLXstmF1e7Py6cgnqGWrCwW4PsWyjKxRzA8lalmQbxuSXTuvrbw8oQmepHIKOF7g-5GT1ArIYu_C_J6MuYrCFQ/gLyjsnRBsdorU9IgSwHt2uUTkyCAUbgCN9uLUffsjZo),#874D3C,Hypnotits,7.64,6.94,0.909,0.6818,0.7500,RC-6.94_RS-7.64_RT-0.91,RC-6.94_RS-7.64_RT-0.91,tts_ChocoLattes-Hypnotits-75_RC-6.94_RS-7.64_RT-0.91,tts_ChocoLattes-Hypnotits-75_
22,#ffd8bd,PeCans,t_91.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/YfgGV-4D77flt_I3hHrySQ/fvYVoabP1k0Y1sH3_kl8TLlbJeiVzstSUKQDEtxVvv9hPVFGaV9nWhNTbLuTm_RXggPLjdJM9OTy_dsNBpbXdw/7aw8SKy4MKZ_5P-W1rsLpC8a17mDuejjo9al0a4Bk_M),#b7896a,Hypnotits,7.64,6.94,0.909,0.2000,0.2200,RC-6.94_RS-7.64_RT-0.91,RC-6.94_RS-7.64_RT-0.91,tts_PeCans-Hypnotits-22_RC-6.94_RS-7.64_RT-0.91,tts_PeCans-Hypnotits-22_
84,#cdbef7,PurpleHush,t_47.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/iKAlQ77d6c9Z0TGAuAs20A/zhAMYv41HCeCa4r60HUlncsGT9rpXkKTRFdhCLP0olBeqO6PbjQ7aOEdkY2HIsPM-k6vSZiB5uAtg7DWnRVCdw/ggwMteRzAorvAtNoUzsdhgoTAF8VBv-vyZsfPP1DoFw),#5F4B8B,Hypnotits,7.64,6.94,0.909,0.7636,0.8400,RC-6.94_RS-7.64_RT-0.91,RC-6.94_RS-7.64_RT-0.91,tts_PurpleHush-Hypnotits-84_RC-6.94_RS-7.64_RT-0.91,tts_PurpleHush-Hypnotits-84_
