TT id,LinkColorHex,ColorTeam (from LinkColorHex),IMG WP,IMG IPFS (from LinkColorHex),ColorSkin (from LinkColorHex),ShapesLink,ShapeRarity,ColorRarity,RarityTotal,RaritiesConcatenated,RaritiesArray,Concatenate Attibutes,Concatenate Attributes and Array
127,#f9cdaf,CupCakes,t_132.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/7LiImuiVa8BUoYqGON0P5A/fUm85e59aUcEPiFYw_a9ouqQEJ-eUAMNjmNGQBNdPHl9XGZW1bRMwgmkmGET7TSeDJR3o3oCGmIshZGvL_0BKfSmT-dTVEovvv29GiZGIE8/lf2EqVjHKc43KFCO1xinCKZoFdaLGD6YXyDvMYaOx8s),QmZ3o3GukiJNgiLon4D84FjmepyGBtJ3Wc4c1Ed46iZoSL (https://dl.airtable.com/.attachments/b5efab95eb96c8e64079b7ac4af01eef/e6c17ccf/QmZ3o3GukiJNgiLon4D84FjmepyGBtJ3Wc4c1Ed46iZoSL),#E29764,Trooper,6.94,8.33,1.20,RC-8.33_RS-6.94_RT-1.2,"RC:8.33,RS:6.94,RT:1.2","tts_CupCakes-Trooper-127_{RC:8.33,RS:6.94,RT:1.2}",tts_CupCakes-Trooper-127_
126,#eacece,CocoNaugthy,t_2.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/xBVh9Nnftcojjhu8lyEDEA/lzMiqhE9Z_H23R8NHqdbpkW4Az9mV4eDdIXVNlt0vbZ8SzEF18r0TZqgvpyNdIRhcnSQOb5wZ4aSdHatOyi9ow/PlkGDwgIVh_kShWz5iO1ecyNthKXgUY80bvxHw7KRks),QmSfZtwMCQ1nF2xt8vM3FDJudgw6uNwR6fdkuAn6hQ5cKS (https://dl.airtable.com/.attachments/ba3095af1bb3382da6d8d18c31c7483a/a51854b3/QmSfZtwMCQ1nF2xt8vM3FDJudgw6uNwR6fdkuAn6hQ5cKS),#D6AAAA,Hypnotits,7.64,8.33,1.09,RC-8.33_RS-7.64_RT-1.09,"RC:8.33,RS:7.64,RT:1.09","tts_CocoNaugthy-Hypnotits-126_{RC:8.33,RS:7.64,RT:1.09}",tts_CocoNaugthy-Hypnotits-126_
125,#9bd3f9,BooBerries,t_64.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/WuFD-5RlzeojoTY_eenj9Q/uvgNQufu7PxnsX8fhE2qlR-Mvf86UuunYW66lXQQcVQDSwW4nZsdn3OL7g4-XfaYFHLmGdqnqwLxAg1af_g-cA/tSDVRduJNrg2p2wRs0jby4DgGW7iaat6qXK5hd4OT1g),QmXRtjtcHHedBCutzLYcf8fU6LmSByTmUDEZf1buqKtpeN (https://dl.airtable.com/.attachments/a3ddc3d4f4bb4608b31720ddcb5277a6/8d073130/QmXRtjtcHHedBCutzLYcf8fU6LmSByTmUDEZf1buqKtpeN),#30B4E2,Spades,8.33,7.64,0.92,RC-7.64_RS-8.33_RT-0.92,"RC:7.64,RS:8.33,RT:0.92","tts_BooBerries-Spades-125_{RC:7.64,RS:8.33,RT:0.92}",tts_BooBerries-Spades-125_
124,#9bd3f9,BooBerries,t_5.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/NhQHD8wgZjxo5ZSUTLyZMg/_s3kXpaiRstvdLEMs7VM7Bn-zpGsyAQPX7A39kt00zOuZWzNTmfuWnDNvBloPUNgzDpPL7mifanlb2R7V-zyXQ/1uW8NXtImT7Zr9Ci9nanoIJBQU6n0W4lvep0_LylEAU),QmXRtjtcHHedBCutzLYcf8fU6LmSByTmUDEZf1buqKtpeN (https://dl.airtable.com/.attachments/a3ddc3d4f4bb4608b31720ddcb5277a6/8d073130/QmXRtjtcHHedBCutzLYcf8fU6LmSByTmUDEZf1buqKtpeN),#30B4E2,TotalRecalls,8.33,7.64,0.92,RC-7.64_RS-8.33_RT-0.92,"RC:7.64,RS:8.33,RT:0.92","tts_BooBerries-TotalRecalls-124_{RC:7.64,RS:8.33,RT:0.92}",tts_BooBerries-TotalRecalls-124_
123,#f9b4e4,WaterMelons,t_112.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/xiLxmpKQWNIQCzXdV4ApCw/QaQ5JpQGh0eE8Nih2YghRwFUBeXi756x6WFOYsn3ThTca3GA2sTjnLgm718xAeYUVWSt_7lzTS2OxmNfIV3LZhpiMdwL3hl9r8ZjjaH2Sqg/paxlWGO7ndumzISrwI-EZO61oREtcijYqmYFRG7jfRU),QmS3rDGmq2oqNpLqP9jgNX1kknK9Ao38X3FL7mpzjRnQsQ (https://dl.airtable.com/.attachments/89beccaec9c3a9150c7f1a01f8e45806/1e3015ec/QmS3rDGmq2oqNpLqP9jgNX1kknK9Ao38X3FL7mpzjRnQsQ),#EF6EAA,Hoots,8.33,7.64,0.92,RC-7.64_RS-8.33_RT-0.92,"RC:7.64,RS:8.33,RT:0.92","tts_WaterMelons-Hoots-123_{RC:7.64,RS:8.33,RT:0.92}",tts_WaterMelons-Hoots-123_
122,#f9cdaf,CupCakes,t_128.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/caS-I5d5NQAj4fzm8kr-tg/xM2uh0AHdwhD_Q0p5vTwEGFUy8G5mndlznAlON1qrkwwZzdqFnaUg_37RClKhwUvUe0bidxQel2YgGkkbvIMciZ0YxuZC9hbq2RaDxhpDh4/kl0EQcTojKA_Kn8Z_ZsnnYrg86RLeUe4ujnEucrR91I),QmZ3o3GukiJNgiLon4D84FjmepyGBtJ3Wc4c1Ed46iZoSL (https://dl.airtable.com/.attachments/b5efab95eb96c8e64079b7ac4af01eef/e6c17ccf/QmZ3o3GukiJNgiLon4D84FjmepyGBtJ3Wc4c1Ed46iZoSL),#E29764,Perkies,10.42,8.33,0.80,RC-8.33_RS-10.42_RT-0.8,"RC:8.33,RS:10.42,RT:0.8","tts_CupCakes-Perkies-122_{RC:8.33,RS:10.42,RT:0.8}",tts_CupCakes-Perkies-122_
121,#f9cdaf,CupCakes,t_130.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/viF_XshX6XYBTSu46ABVlg/3WV8rZHMmBWlnOoWfxGSAjghhzZOKyb8z2qlxKDdxJwXTSddQkoivP0CA-YGg31hwUFNJEg0HegXRcVuLEqN64ESGPtOrOekBBo9NOykQPw/_VA2cJaponV4-TkJepW2XEWGJ3_3mHIzypMjWIWqoBs),QmZ3o3GukiJNgiLon4D84FjmepyGBtJ3Wc4c1Ed46iZoSL (https://dl.airtable.com/.attachments/b5efab95eb96c8e64079b7ac4af01eef/e6c17ccf/QmZ3o3GukiJNgiLon4D84FjmepyGBtJ3Wc4c1Ed46iZoSL),#E29764,Shaggies,6.94,8.33,1.20,RC-8.33_RS-6.94_RT-1.2,"RC:8.33,RS:6.94,RT:1.2","tts_CupCakes-Shaggies-121_{RC:8.33,RS:6.94,RT:1.2}",tts_CupCakes-Shaggies-121_
120,#9bd3f9,BooBerries,t_59.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/0CuT_nh9Um8qP4RJd7vm9A/4EYTQ-RJ6DA2hXNcYfDv7wF-Fmt7pUvr2teKFKhXEGh6dioM3DsAd94_92NBzhu2XDs8OP36BnR_RAwO8CXxAQ/_SxCsNENWuf-E33nGNdPozRFPScxMdqmgzg97llvbgw),QmXRtjtcHHedBCutzLYcf8fU6LmSByTmUDEZf1buqKtpeN (https://dl.airtable.com/.attachments/a3ddc3d4f4bb4608b31720ddcb5277a6/8d073130/QmXRtjtcHHedBCutzLYcf8fU6LmSByTmUDEZf1buqKtpeN),#30B4E2,HolyMels,8.33,7.64,0.92,RC-7.64_RS-8.33_RT-0.92,"RC:7.64,RS:8.33,RT:0.92","tts_BooBerries-HolyMels-120_{RC:7.64,RS:8.33,RT:0.92}",tts_BooBerries-HolyMels-120_
119,#ffd8bd,PeCans,t_97.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/JJqEmf6dekshcYi8YLLalw/I1C_tHfEApNwXn96zqq_cJaQeGotH9V34msTu8D_qFrOCR3GAmnSCkkvcL2F-jGF8uMFntf9jCz-Httsp5Hn0Q/JUbc88DC9HYd5NEtmUuJr8SZencWWHxhcSNp1seL_Lw),QmQ8LZK6kYaw3dSdn8HUBBWieYwgKax1j1PAjcW72J8Z9B (https://dl.airtable.com/.attachments/648e65cf5b832a946ef16fb62b1ceecd/8f81d9c0/QmQ8LZK6kYaw3dSdn8HUBBWieYwgKax1j1PAjcW72J8Z9B),#b7896a,Spades,8.33,6.94,0.83,RC-6.94_RS-8.33_RT-0.83,"RC:6.94,RS:8.33,RT:0.83","tts_PeCans-Spades-119_{RC:6.94,RS:8.33,RT:0.83}",tts_PeCans-Spades-119_
118,#ebf2a7,PaPairmint,t_106.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/fXZiW5Aa_sdoocoD5lYt-A/nH41DXPLmQMh9SZXUJyMBSpeAyceDM7c0yf-hzo2MFIiT_ejv8wj3aMV_XszDJT3hbp1lkfjVqeABiKcgUHZNlJwkAQNF76CB9SdYJTnM60/S2KtMP_Ql-01ZhblaXCXtuSi7uV08AShw7RoBLrv6iM),QmaG9JqF5XPEymHUzfkYnTy4QCdh336nd2WQNjuAMd6pop (https://dl.airtable.com/.attachments/6845bdc4060a72dce4505d217fd2d4fa/46c49df6/QmaG9JqF5XPEymHUzfkYnTy4QCdh336nd2WQNjuAMd6pop),#BFD65B,Perkies,10.42,6.94,0.67,RC-6.94_RS-10.42_RT-0.67,"RC:6.94,RS:10.42,RT:0.67","tts_PaPairmint-Perkies-118_{RC:6.94,RS:10.42,RT:0.67}",tts_PaPairmint-Perkies-118_
